100 186
49 16 27
8 13 380
42 32 106
31 29 426
23 22 553
82 81 12
70 42 625
40 32 958
13 1 656
36 37 754
12 11 473
72 75 156
29 30 458
27 21 616
28 30 710
90 53 351
84 51 835
43 51 492
7 5 269
5 2 1061
40 37 102
83 81 35
16 12 537
6 2 637
40 36 136
49 20 1118
4 11 1154
86 50 29
6 3 175
88 56 1181
34 12 67
43 41 780
2 3 1058
99 92 649
59 64 640
59 92 599
46 44 20
83 49 986
36 68 879
98 68 865
96 89 268
48 83 443
39 40 235
18 22 687
7 14 351
24 16 629
57 55 720
52 45 62
13 35 246
18 6 1136
63 66 1083
44 49 943
22 24 658
9 7 28
13 12 771
8 3 385
54 51 863
36 14 646
91 58 1199
97 94 1074
89 85 1089
10 4 206
18 20 1078
24 53 271
68 70 1143
46 17 969
9 4 1075
54 58 591
43 73 887
10 33 523
78 77 1128
64 72 174
68 71 107
26 56 935
54 87 993
39 73 1096
70 73 1032
79 71 51
44 73 432
90 93 523
98 96 879
55 88 188
62 65 984
38 33 871
14 10 496
75 74 116
73 72 778
18 49 748
5 3 702
84 80 902
60 27 592
69 62 978
52 53 184
8 6 117
39 38 573
50 55 832
77 71 303
56 58 197
23 27 475
98 65 738
54 60 267
48 47 434
76 45 171
61 31 129
28 57 796
65 32 1053
66 59 167
63 98 607
100 71 725
79 47 99
87 77 718
17 19 1155
34 31 549
97 62 733
82 78 890
9 5 968
16 17 456
45 50 186
26 25 389
30 65 1107
26 20 1080
96 90 146
34 66 254
25 35 54
67 63 694
42 45 516
87 85 6
1 4 195
80 87 381
38 41 775
16 48 727
67 75 475
63 61 1064
76 80 928
22 51 1055
91 57 703
25 58 939
38 69 971
55 19 598
14 1 348
21 17 896
81 78 164
61 62 496
100 61 17
21 50 962
95 97 191
33 67 43
48 39 193
24 8 454
57 23 1081
15 19 1053
52 56 1027
42 44 67
41 74 531
29 28 653
47 37 306
95 94 122
84 52 1053
31 20 356
76 46 40
27 30 979
1 2 412
69 37 1119
82 85 261
94 88 1103
15 11 856
74 79 254
66 35 667
11 7 624
43 15 867
15 10 16
21 28 1079
67 100 819
9 26 1074
95 93 762
47 46 266
34 33 180
53 60 341
35 41 211
69 64 546
60 92 419
93 97 274
91 86 766
19 25 403
32 23 530
59 29 273
89 86 976

3954


